league,specification,D_upper,dyadic_p_value,tail_rate_95,tail_excess_95,tail_ci_lower_95,tail_ci_upper_95
nba,corrected,0.09675639586797852,1e-4,0.06319478008699855,0.013194780086998509,0.004272691833311505,0.022875196170874103
nba,raw,0.09675639586797852,1e-4,0.06416143064282262,0.014161430642822576,0.0052838863425536025,0.023811294090288475
nba,exclude_patched,0.09600484261501213,1e-4,0.06234866828087167,0.012348668280871625,0.003465803727135923,0.02207497222556212
nba,rounding_lower,0.09522708043316791,1e-4,0.06319478008699855,0.013194780086998509,0.004272691833311505,0.022875196170874103
nba,rounding_upper,0.09862540155230509,1e-4,0.06573223779603674,0.01573223779603669,0.006597967571512903,0.025583274169343893
nba,dyadic_calendar,0.09675639586797852,1e-4,0.06319478008699855,0.013194780086998509,6.564799460325791e-4,0.02728668074642262
nba,franchise_linked,0.09675639586797852,1e-4,0.06319478008699855,0.013194780086998509,0.004195251080383105,0.022523924885938587
nfl,corrected,0.01460022762839669,0.7364,0.04491341991341991,-0.005086580086580132,-0.019809865884518718,0.011403935586656802
nfl,raw,0.01460022762839669,0.7353,0.04599567099567099,-0.004004329004329052,-0.018902089886145473,0.012988922166678938
nfl,exclude_patched,0.013688178722855382,0.7686,0.04392624728850325,-0.006073752711496794,-0.02058937874796844,0.010429259035535838
nfl,rounding_lower,0.013374741937780488,0.7752,0.04491341991341991,-0.005086580086580132,-0.019809865884518718,0.011403935586656802
nfl,rounding_upper,0.01649256540560773,0.6786,0.045454545454545456,-0.004545454545454589,-0.019387145013042242,0.012238942757620934
nfl,dyadic_calendar,0.01460022762839669,0.8563,0.04491341991341991,-0.005086580086580132,-0.02529482084319132,0.019952516121543685
nfl,franchise_linked,0.01460022762839669,0.7045,0.04491341991341991,-0.005086580086580132,-0.019045757336533294,0.012159631905070844
